system,btn_radius,card_radius,heading_weight,body_line_height,heading_letter_spacing,shadow_intensity,btn_shape
Airbnb,8,20,700,1.43,-0.44,2,2
Airtable,12,20,400,1.35,0,3,2
Apple,8,6,600,1.47,-0.37,3,2
BMW,0,0,300,1.15,0,0,0
Cal.com,8,10,600,1.10,0,3,2
Claude,10,20,500,1.60,0,2,2
Clay,12,32,600,1.60,-0.4,3,2
ClickHouse,4,8,900,1.50,1.4,2,0
Cohere,22,22,400,1.40,-1.44,0,3
Coinbase,56,24,400,1.00,0,0,3
Composio,4,4,400,1.50,0,3,0
Cursor,8,9,400,1.35,-0.72,3,2
ElevenLabs,9999,24,300,1.60,-0.96,2,3
Expo,6,16,900,1.40,-3.0,2,2
Figma,50,7,400,1.45,-0.96,2,3
Framer,40,11,500,1.30,-5.5,3,3
HashiCorp,5,8,600,1.50,0,1,2
IBM,0,0,300,1.50,0.32,2,0
Intercom,4,12,400,1.50,-0.48,2,0
Kraken,12,16,700,1.38,-0.5,2,2
Linear,6,15,510,1.50,-1.58,3,2
Lovable,6,14,600,1.50,-1.5,2,2
MiniMax,8,18,500,1.50,0,3,2
Mintlify,9999,20,600,1.50,-1.28,1,3
Miro,8,18,400,1.45,-1.68,2,2
Mistral,4,0,400,1.50,-2.05,3,0
MongoDB,100,32,400,1.50,0,3,3
Notion,4,14,700,1.50,-2.13,1,2
NVIDIA,2,2,700,1.50,0,2,0
Ollama,9999,12,500,1.50,0,0,3
PostHog,6,5,800,1.50,-0.75,2,2
Raycast,6,14,600,1.60,0,3,2
Replicate,9999,9999,700,1.50,-1.8,2,3
Resend,9999,20,400,1.50,-0.96,1,3
Revolut,9999,20,500,1.50,-2.72,0,3
RunwayML,5,8,400,1.30,-1.2,0,1
Sanity,9999,9,400,1.50,-4.48,1,3
Sentry,13,10,700,1.50,0,2,2
SpaceX,32,0,700,1.50,0.96,0,3
Spotify,50,7,700,1.50,0,3,2
Stripe,4,6,300,1.40,-1.4,2,1
Supabase,9999,12,400,1.50,0,0,3
Superhuman,12,16,540,1.50,0,2,2
Together.ai,6,8,500,1.25,-1.92,2,1
Uber,999,10,700,1.25,0,2,3
Vercel,6,10,600,1.56,-2.4,1,2
VoltAgent,6,8,400,1.50,-0.65,2,2
Warp,50,10,400,1.30,-2.4,0,3
Webflow,6,6,600,1.40,0,2,1
Wise,9999,28,900,1.44,0,1,3
X.ai,0,2,300,1.50,0,0,0
Zapier,6,6,500,1.20,-0.9,0,1
Pinterest,16,16,600,1.40,-1.2,0,2
OpenCode,5,4,700,1.50,0,0,1
